Year, Article Count, Ref Count
1980,1,1
1981,0,0
1982,0,0
1983,0,0
1984,2,2
1985,1,1
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,1,1
1995,3,3
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,3,3
2004,1,1
2005,2,2
2006,1,1
2007,2,2
2008,0,0
2009,2,2
2010,1,1
2011,1,1
2012,6,6
2013,7,7
2014,5,5
2015,2,2
2016,8,8
2017,6,6
2018,8,8
2019,5,5
2020,7,7
2021,4,4
2022,5,5
2023,23,23
