Year, Article Count, Ref Count
1980,1,1
1981,0,0
1982,1,1
1983,0,0
1984,0,0
1985,2,2
1986,0,0
1987,1,1
1988,3,3
1989,1,1
1990,0,0
1991,0,0
1992,1,1
1993,0,0
1994,1,1
1995,0,0
1996,1,1
1997,2,2
1998,1,1
1999,0,0
2000,1,1
2001,1,1
2002,2,2
2003,0,0
2004,2,2
2005,0,0
2006,1,1
2007,0,0
2008,0,0
2009,1,1
2010,1,1
2011,2,2
2012,4,4
2013,3,3
2014,1,1
2015,7,7
2016,3,3
2017,6,6
2018,3,3
2019,4,4
2020,7,7
2021,8,8
2022,5,5
2023,2,2
