Year, Article Count, Ref Count
2005,1,1
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,1,1
2011,0,0
2012,3,3
2013,5,5
2014,5,5
2015,9,9
2016,4,4
2017,4,4
2018,11,11
2019,8,8
2020,6,6
2021,5,5
2022,3,3
2023,6,6
