Year, Article Count, Ref Count
1980,2,2
1981,0,0
1982,1,1
1983,0,0
1984,2,2
1985,3,3
1986,0,0
1987,1,1
1988,3,3
1989,1,1
1990,0,0
1991,0,0
1992,1,1
1993,0,0
1994,2,2
1995,3,3
1996,1,1
1997,4,4
1998,1,1
1999,0,0
2000,1,1
2001,1,1
2002,2,2
2003,3,3
2004,4,4
2005,3,3
2006,4,4
2007,2,2
2008,3,3
2009,3,3
2010,5,5
2011,5,5
2012,13,13
2013,16,16
2014,14,14
2015,22,22
2016,25,25
2017,33,33
2018,38,38
2019,38,38
2020,31,31
2021,36,36
2022,40,40
2023,61,61
